Field Name                                        	Field Type          	Data Type 	Mask                	Length	None
                                                  	                    	          	                    	 	Allowed
 
EditMenuName                                      	TEdit               	string    	                    	32	F
EditCheckName                                     	TEdit               	string    	                    	23	F
CheckBoxVariablePrice                             	TCheckBox           	boolean   	                    	0	F
CheckBoxRepeatRound                               	TCheckBox           	boolean   	                    	0	F
CheckBoxKitchenComment                            	TCheckBox           	boolean   	                    	0	F
CheckBoxFollowItem                                	TCheckBox           	boolean   	                    	0	F
CheckBoxRequiresBeverage                          	TCheckBox           	boolean   	                    	0	F
CheckBoxSatisfiesBeverage                         	TCheckBox           	boolean   	                    	0	F
CheckBoxKitchenPrice                              	TCheckBox           	boolean   	                    	0	F
CheckBoxOutOfStock                                	TCheckBox           	boolean   	                    	0	F
CheckBoxScale                                     	TCheckBox           	boolean   	                    	0	F
CheckBoxRequestTareWeight                         	TCheckBox           	boolean   	                    	0	F
CheckBoxIncrementGuests                           	TCheckBox           	boolean   	                    	0	F
CheckBoxIncludeInItemPrice                        	TCheckBox           	boolean   	                    	0	F
CheckBoxCountdown                                 	TCheckBox           	boolean   	                    	0	F
CheckBoxGuestCheck                                	TCheckBox           	boolean   	                    	0	F
CheckBoxFractionQuantity                          	TCheckBox           	boolean   	                    	0	F
CheckBoxInventoriable                             	TCheckBox           	boolean   	                    	0	F
CheckBoxFoodStampEligible                         	TCheckBox           	boolean   	                    	0	F
CheckBoxTimedRate                                 	TCheckBox           	boolean   	                    	0	F
CheckBoxSteeringModifier                          	TCheckBox           	boolean   	                    	0	F
CheckBoxRequireApproval                           	TCheckBox           	boolean   	                    	0	F
CheckBoxReclassifyTax                             	TCheckBox           	boolean   	                    	0	F
CheckBoxQuantityPrompt                            	TCheckBox           	boolean   	                    	0	F
CheckBoxPositionPrompt                            	TCheckBox           	boolean   	                    	0	F
CheckBoxConversationalMods                        	TCheckBox           	boolean   	                    	0	F
SpecterNewComboBoxModifyingCanvas1                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas2                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas3                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas4                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas5                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas6                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas7                	TSpecterNewComboBox 	smallint  	                    	250	T
SpecterNewComboBoxModifyingCanvas8                	TSpecterNewComboBox 	smallint  	                    	250	T
OvcNumericFieldMin1                               	TOvcNumericField    	shortint  	99                  	0	F
